,title,rating,body,date,country
240,Works great,"5,0",Love this little guy and he has a great sounding speaker! Worth the money just wish the battery lasted longer.,4 augustus 2022,de Verenigde Staten
241,Super!,"4,0",Ist wirklich vielseitig nutzbar. Es ist sehr süß und die Lautstärke und Qualität ist einfach mega. 🥺🤍,4 augustus 2022,Duitsland
242,Cute product but doesn’t work,"1,0",No audio when connected to PC.Cute product but no functionality.,3 augustus 2022,de Verenigde Staten
243,super cute,"5,0","very easy to set up and get running, having an app for access to designs made by other people is such a fun feature because there's so many cute ones to choose! the instructions manual could be writte",1 augustus 2022,de Verenigde Staten
244,Very cute,"5,0","It's great, but it's cheaper on their official site than the listing here",31 juli 2022,de Verenigde Staten
245,"Top Produkt, fasziniert von der Vielfalt von Möglichkeiten!","5,0",Positiv überrascht von der Qualität und den enorm vielen Funktionen! Macht Spaß und es sieht toll aus! Ausgezeichnetes Produkt!,27 juli 2022,Duitsland
246,Cutest speaker ever,"4,0",I absolutely love everything about this speaker. The only thing that made me give it a 4 and not 5 is because I tried to connect it to my iPad to have a bigger screen. It's probably possible but it pr,25 juli 2022,de Verenigde Staten
247,Great product,"5,0","The speaker is amazing and work really well, the only problem I have for this is the battery life seem too short and the bluetooth keeps disconnecting to my laptop.",25 juli 2022,de Verenigde Staten
248,Great art display,"4,0","Oh yeah, great bluetooth speaker, perfect for pixel art and love the keys you can play games on, yeah bit pricey but great way to spice up your desk, love it",24 juli 2022,de Verenigde Staten
249,Can't even connect to galaxy s10,"1,0",Was excited to receive this but out of the box it won't connect to ANYTHING or show up in divoom app and divoom trouble shooting literally says try a new phone. Ridiculous,21 juli 2022,de Verenigde Staten
250,Works really well and is entertaining too,"5,0",Pairs well with the app and keeps it fun,20 juli 2022,de Verenigde Staten
251,Lo ricomprerei altre mille volte!!!5 stelle!!!,"5,0","È una figata! Io l'ho comprato principalmente per usarlo come cassa per ascoltare musica, e devo dire che come qualità del suono è ottimo, a metà volume senti già che il suono è denso e i bassi potent",20 juli 2022,Italië
252,requires making a account with them just to set the time... facepalms,"1,0",Nice build quality good sound awful battery life and I mean nothing like the time they stated. They must have had the sound at 20% and a static screen for that test. But the killer is their software y,18 juli 2022,het Verenigd Koninkrijk
253,Apprehensive but...,"5,0",I was apprehensive at first to purchase this as it was rather pricey and some of the reviews were not so great... however it came on sale for prime day so I thought I'd just go for it. I'm glad I did!,16 juli 2022,het Verenigd Koninkrijk
254,Worth the money,"5,0",Made my daughter very happy.Worth the money,15 juli 2022,Canada
255,Good Purchase,"4,0",I loved how cute the product looked. The packaging was great. The Divoom Ditoo has many features. The App is also great. Looking forward to using this more.,15 juli 2022,India
256,"The speaker is terrible , I want to return it and get my money back.","1,0","I DON'T THINK THIS SPEAKER IS WORTH THE PRICE. THE QUALITY OF SOUND THAT COMES OUT OF IT IS TERRIBLE AND ON TOP OF THAT THE CONNECTION ISN'T SECURE , MY NEIGHBOOR'S KIDS KEEP CONNECTING TO IT.- THE GA",11 juli 2022,de Verenigde Staten
257,"Great aesthetic to the eyes, terrible sounds","2,0","It is aesthetically pleasing to the eyes but the sound is terrible. I purchased one, returned it thinking it was a defect. Purchased another and it is the same problem! the sound quality of this is ho",8 juli 2022,de Verenigde Staten
258,Bonito diseño y gran sonido para ser un altavoz tan compacto.,"4,0","Queda precioso y relación calidad/precio está muy bien. Como altavoz suena genial para ser tan pequeñito. Tiene infinidad de funciones extra y muchas posibilidades de personalización. Como pega, la du",1 juli 2022,Spanje
259,Amazing!,"5,0","Nice 👍 sound is very smooth, bass is good.I will recommend for perfect desk setup!",29 juni 2022,Duitsland
260,"Cute and pricey for sure, but faulty and customer service won’t help if anything goes wrong","2,0","The device is very cute but there’s a number of annoying things that seem to be overshadowed by the way it looks. Sound is loud, but mids and bass are disproportionately high compared to treble so it ",27 juni 2022,de Verenigde Staten
261,cute addition,"5,0",such a cute addition to my desk setup. the speaker is more powerful than i thought it would be. a high quality speaker with cute customization,26 juni 2022,de Verenigde Staten
262,Very cute but the sound is not that great,"3,0","I was very hyped about this speaker. The pixel art doesn't disappoints, it's very cute and even has a mini game. The bluetooth works fine, a little delay of like 5 seconds but it does the job. The qua",25 juni 2022,de Verenigde Staten
263,"Llego súper rápido, mucho antes de lo esperado, me encanto","5,0","El sonido es excelente, suficiente para mi habitación.",20 juni 2022,Mexico
264,Neat addition to desks,"5,0",Interface is a little odd but you’ll figure it out through the app. Got it for my bird. Odd right? Going to build my bird a tiny desk so they can game by my side. Sound quality is good.,20 juni 2022,de Verenigde Staten
265,better than expected,"5,0","find some amazing pixel art in the app or create your own, decent sound quality, super cute! love it, and very happy :)",18 juni 2022,Australië
266,Love it in pink,"5,0",This is the cutest speaker. You’re able to download and app that adds different animations to your screen. A lot of people create and make animations. It’s amazing. The bass and sound quality exceeded,16 juni 2022,de Verenigde Staten
267,So cute!!,"5,0",,16 juni 2022,de Verenigde Staten
268,great:),"5,0",i love it sm !! works great and is SOSO cute :D,15 juni 2022,de Verenigde Staten
269,Je l'aime trop 😍,"5,0",,12 juni 2022,Frankrijk
270,Loved this!,"5,0","Loved this, I was kind of debating on whether to buy or not & im glad I did the cutest purchase ever :3The sound quality is great I wasn’t expecting that. Would definitely recommend",10 juni 2022,de Verenigde Staten
271,cutie speaker for your desk to keep you company,"5,0",IM OBSESSED,8 juni 2022,Canada
272,super cute & good speaker!,"5,0",its so cute & just the right amount of loudness that the speaker doesnt sound bad when you put it at full volume,7 juni 2022,de Verenigde Staten
273,Cool Gadget,"5,0","This was bought as a last minute Christmas gift for my teen daughter. She absolutely loves it! I was a bit taken back by the price, but after seeing it in action - totally worth it! The speaker qualit",25 mei 2022,de Verenigde Staten
274,My girls use this for everything!,"5,0",Great!,23 mei 2022,de Verenigde Staten
275,Bellissima!,"5,0",L’ho presa come regalo ed è stata molto gradita.La qualità del suono è eccellente ed è un accessorio troppo carino!!!!!,23 mei 2022,Italië
276,adore this!,"5,0","the battery doesn't last super long, i don't find this an issue as i've been leaving this plugged all the time, but this little guy can do so much more than i originally thought! and the sound quality",21 mei 2022,het Verenigd Koninkrijk
277,Bin sehr zu frieden :D,"5,0","Super accessory bin in das kleine ding verliebt. Tonqualität is top. Finde es nur schade, dass man keine richtige API für das display bekommt. :)",20 mei 2022,Duitsland
278,Best purchase !,"5,0",I love this thing it’s so cute and cool ! Very loud and love that I can use it as an alarm clock.,17 mei 2022,de Verenigde Staten
279,Excelente producto,"5,0","Muy divertido y facil de configurar, ademas llego antes de lo ofrecido",16 mei 2022,Mexico
280,Funktioniert nicht.,"1,0",Tastatur funktioniert leider nicht. Support antwortet nicht mehr. Geht zurück. Schade.,15 mei 2022,Duitsland
281,really good,"5,0",,14 mei 2022,het Verenigd Koninkrijk
282,Amazing,"5,0",,12 mei 2022,Australië
283,Awesome gift for teens,"5,0","I bought one of these for Christmas for my 16yo who’s into the 80s and gaming. I though it would be THE item for 2021. It wasn’t, but he loved it. His older brother was jealous and I just got him one ",9 mei 2022,de Verenigde Staten
284,La verdad es mucho lo que pague y la batería dura muy poco definitivamente no lo recomiendo,"1,0",La batería dura muy poco y es muy costoso,7 mei 2022,de Verenigde Staten
285,Much cooler then expected,"5,0",I brought this thinking it was just a cute speaker that gad cute little images on the screen but NO! It was so much cooler then that. It has its own little games and a clock etc there is alot more in ,7 mei 2022,Australië
286,Doesn’t work!,"1,0",What a waste of money. It doesn’t even charge or work.very frustrated as it was a gift and now the return window has closed. Avoid!,5 mei 2022,het Verenigd Koninkrijk
287,Wow that’s cool,"5,0",,3 mei 2022,het Verenigd Koninkrijk
288,So adorable!,"5,0","There's so many pixel options to put as your display and its easy to setup, if you're thinking about getting it do it !",2 mei 2022,Canada
289,Cutest speaker ever 😍,"5,0",Great delivery and great product overall. It smelled a little strange when opening it but I think that's just like plastic - went away in a few minutes. This speaker is amazing!!!! It looks so cute an,1 mei 2022,de Verenigde Staten
290,Tiny and mighty 👌🏽,"5,0",Love the cute designs paired with a powerful sound!,1 mei 2022,de Verenigde Staten
291,Not as great as the others say...,"1,0","The screen keeps dying and coming back after a few days, audio is tinny and lacks bass. Animation detail is poor and can't do to much unless super simple. Games are boring and the overall quality is s",26 april 2022,de Verenigde Staten
292,Me encanta,"5,0","Me encanta, es caro, pero obviamente es un capricho y no una necesidad. Aun así, no es solo decorativo, sino que te sirve de altavoz (y uno muy bueno y potente), alarma, agenda, etc. Se pueden hacer m",23 april 2022,Spanje
293,Bellissimo gadget con ottimo suono,"5,0",L'altoparlante si sente molto bene ed ha una discreta potenza anche sui bassi. Bella la funzione di cambiare le animazioni dall'applicazione e di disegnarle. Sull'applicazione ce ne sono tantissime pe,23 april 2022,Italië
294,Perfetto,"5,0","Regalo per una persona. è bellissimo! Ottima estetica, anche il case è super carino e resistente. Suono spettacolare e moltissime funzionalità all'interno del prodotto!Mi dispiace non averne comprato ",21 april 2022,Italië
295,Dying on me,"1,0",I've had this speaker a little more than a year and the lights under the keys are flickering. The sound is cutting out. Videos stop playing randomly. The on/off button won't work. No falls or damage. ,20 april 2022,de Verenigde Staten
296,Adorable and well-made speaker!,"5,0","I’ve been wanting this speaker for almost a year. It finally went on sale and I got it. It’s SUPER high quality, the buttons are clicky and it’s easy to use. The sound quality is great and the clock i",18 april 2022,de Verenigde Staten
297,Love it!!!,"5,0",It better then what I expected!!!! And it’s super cute!!!!!!,18 april 2022,de Verenigde Staten
298,Cool,"5,0","This is a great little device, I got it for my daughter for Xmas she loves it great sound from it thanks",18 april 2022,Duitsland
299,very good,"5,0",fast delivery. My daughter loves it,18 april 2022,Australië
300,I think it’s a little too pricey,"5,0","It is a really cute gadget, but honestly I find it a little pricey, I still like it though. Sound quality is not that great but acceptable, if you do connect your phone and someone call you sound is a",14 april 2022,het Verenigd Koninkrijk
301,CUTEST LITTLE SPEAKER EVER!,"5,0","I have been needing a new speaker for a long time now. I’ve seen this all over the internet and I’m so obsessed! You can play games, design with a app, answer phone calls and so much more! I 100% reco",14 april 2022,de Verenigde Staten
302,Super cute,"5,0","Extremely cute, connects to my iPhone/MacBook easily, and sounds great for my casual use.",14 april 2022,de Verenigde Staten
303,bello,"5,0",ottimo prodotto,11 april 2022,Italië
304,Ruby,"5,0",My granddaughter love it,11 april 2022,de Verenigde Staten
305,Came with no charging cable,"2,0","My Divoom came with no charging cable. Used it sparsely for two weeks until it died, hooked it up to my Switch charger thinking it'd be a good alternative charger but it never charged it, neither did ",10 april 2022,de Verenigde Staten
306,Als Geschenk kommt es Super an!,"5,0",Meine Schwester schwärmt schon lange von diesem kleinen Lautsprecher. Also was macht man als coole Schwerster? GENAU! Man schenkt es ihr zum Geburtstag.Als es angekommen ist und ich es verpacken wollt,9 april 2022,Duitsland
307,Wahou,"5,0","Acheté pour ma fille, je ne m'attendais pas à aussi bien. Est-ce la meilleure enceinte niveau qualité du son pour ce prix. Non, la wonderboom 2 est mieux. Mais qu'est ce qu'elle est mignonne, la boîte",7 april 2022,Frankrijk
308,Hope you are smart!!,"5,0",What a great product one of the best sounding Bluetooth speakers I’ve seen in a while! It’s so much more than a speaker but the learning curve is somewhat difficult you need to have time to sit down w,6 april 2022,de Verenigde Staten
309,"Great Sound, No Directions, Weak Battery Life","3,0","This device is SO FREAKING CUTE! But, it also is difficult to program and didn't come with directions. The battery dies within a few hours of being unplugged, so that isn't cool. I don't even play any",6 april 2022,de Verenigde Staten
310,It's cute but...,"1,0",I've had this thing for 14 months now. I couldn't figure out how to make it stay on for like a year. It would stay on for about 2 hours and die. Once it was able to stay on all day the time would not ,5 april 2022,de Verenigde Staten
311,Great sound,"5,0",So far so good. I am still in the process of testing it out.,29 maart 2022,de Verenigde Staten
312,guys it’s so awesome 😍,"5,0",i love this so much! i use it as a clock and a speaker and it’s so nice 🥺,29 maart 2022,de Verenigde Staten
313,Cumple todas las expectativas,"5,0","Me encanta! El altavoz suena bastante bien, hay un respetorio grande de imágenes que puedes poner y todos los complementos están muy bien.La única pega que puedo poner es el color, puesto que en la fo",27 maart 2022,Spanje
314,My god this is the best purchase ever,"5,0","This is the BEST thing I’ve bought on amazon, everything about is amazing, the keycaps, the sound quality, the display, the fact that you can play games on it and make your own art, and everything els",24 maart 2022,Canada
315,Perfection,"5,0",The sound quality of this product functions great! The battery life and volume control works perfectly. Great to have on ur desk as a decoration.,23 maart 2022,de Verenigde Staten
316,Perfect for the tech/game geek/Nerd in your family!,"5,0","This should be on anyone's christmas or holiday wishlist for the more techy, geeky, or nerdy in your family!The quality is loud and crystal clear for the size, the gif images are customizable to your ",22 maart 2022,de Verenigde Staten
317,It died,"1,0",I was excited. It sounded okay not great but okay. Super cute... BUT IT DIDN'T WORK after I charged it the second time. Never came back on. expensive paperweight not work the wait.,22 maart 2022,de Verenigde Staten
318,Súper Kawaii,"5,0","Llego súper bien cuidada en el empaque, la bocina en si, es súper linda y con la app la puedes personalizar a tu gusto con los diseños, para ser tan pequeña el sonido es impresionante y tiene una exce",19 maart 2022,Mexico
319,Really cute! I love it!,"5,0",I’ve been wanting to get one for a while after seeing a bunch of videos on tiktok of it and when I finally got one it was so much better than I had ever expected! Didn’t take a lot of time to properly,18 maart 2022,de Verenigde Staten
320,Birthday Gift,"5,0",Got this for my daughter who loves it. She says it has cute graphics and the sound is great.,17 maart 2022,de Verenigde Staten
321,Lots of goodness in something small,"5,0",,16 maart 2022,de Verenigde Staten
322,"Es decorativo, útil y funciona de lujo","5,0","Es una manera nada y tiene buena calidad de sonido.Tiene juegos, alarma, y puedes diseñar lo que sale en la pantalla o descargarlo. También puedes componer música ,o programar música relajante para do",14 maart 2022,Spanje
323,"The most versatile, fun speaker you can find!","5,0","I bought this speaker for a friend of mine as a gift, and they absolutely loved it. The sound quality is brilliant (something which I wasn't expecting) and you will probably be unable to turn it up to",14 maart 2022,India
324,Great when I got it...,"1,0",It's a great speaker and accessory but paid $99 at the time (Which was already a bit much) only to hear that a couple months later the DiToo plus came out with more features at $86. I'm good on Divoom,12 maart 2022,de Verenigde Staten
325,"Best PC set up, perfect for the desktop","5,0",,11 maart 2022,het Verenigd Koninkrijk
326,"Beste sinnfreie Spielerei, die ich mir seit langem gekauft habe :D","5,0","Über den wirklichen Sinn des Gerätes lässt sich streiten, aber ich habe ihn in einem Instagramvideo einer Künstlerin auf dem Schreibtisch gesehen und war Blitzverliebt! Habe dann irgendwie rausgefunde",11 maart 2022,Duitsland
327,Amazing speaker,"5,0","It’s an amazing product and of you needed a Bluetooth speaker for something than I would buy this. Great sound quality, maybe the intro a bit too loud but otherwise a very good product",9 maart 2022,Duitsland
328,Just what the kiddoe wanted,"5,0",My son asked for this for xmas. I wasn't sure what it was but I ordered it for him. He absolutely loves it and plays with it regularly. I think it's a neat little gadget and I recommend it for anyone ,8 maart 2022,de Verenigde Staten
329,Cool gadget,"5,0",Cool gadget and Great for my desk!!,7 maart 2022,Australië
330,Ben fatto e funzionale,"5,0",Ottimo prodotto,4 maart 2022,Italië
331,At first I couldn't connect. I was SO frustrated! Answers in comments!,"5,0",So I totally wanted to rip my head off and punch myself in the brain. I am so glad to say we didn't have to take it that far. I added a password to the connection through the app. I was so confused at,4 maart 2022,de Verenigde Staten
332,Fab sound quality,"5,0",Sound quality is fab great little companion for my wfh desk 😀 love it,2 maart 2022,het Verenigd Koninkrijk
333,Super carina,"5,0","La cassa è molto bella, proprio come viene descritto, la qualità del suono molto buona e potente e non me lo aspettavo, i giochini fanno un pochino schifo ma non l’ho comprato per quello, l’ho preso p",2 maart 2022,Italië
334,My Boyfriend Loves It!,"5,0",I got one for Christmas in December and loved it and I could tell my boyfriend also wanted one from him using it since it also plays games on the mini computer speaker! I bought him one as one of his ,2 maart 2022,de Verenigde Staten
335,Great for the price!,"5,0","It’s not as pricey as a top selling speaker but you’re still getting the same quality. Honestly I love this thing. You can play games, and change the screens, use visualizers. It’s great! If you are o",2 maart 2022,de Verenigde Staten
336,Amazing,"5,0",My daughter who loves the kawaii style room loves this little computer. The app on the phone is easy to set up. It is loud and wakes her up when she sets the alarm. I love this purchase.,2 maart 2022,de Verenigde Staten
337,Stopped working after less than a year,"1,0","Hasn't even been a full year since I bought this and already its acting up. Does not want to turn on, runs out of battery literally after 3 hours and now does not want to work when any buttons are pre",27 februari 2022,de Verenigde Staten
338,Very Cute.,"5,0","I've been curious about this little speaker for a long time, and I finally decided to buy it. It was a bit confusing at first, and I will be honest, i'm still learning how to use it, but it's just so ",27 februari 2022,de Verenigde Staten
339,Superó mis expectativas,"5,0","Es un muy buen aliado para hacer más cómodas las sesiones de estudio cortas o largas, aparte que es muy bonito y la bocina es demasiado buena que fue lo que más me sorprendió.No te vas a arrepentir",26 februari 2022,Mexico
340,Love this!,"5,0","Cute, fun, and functional. Speakers are trash though lol but I wasn’t expecting them to be perfect anyways!",25 februari 2022,de Verenigde Staten
341,Very cute & fun.,"5,0",The video & audio are good quality. A very fun toy for all ages.,25 februari 2022,de Verenigde Staten
342,Cute and Powerful Speaker!,"5,0",,25 februari 2022,de Verenigde Staten
343,"Très cool, mais totalement inutile en réalité, non ?","2,0","C'est la première fois que je renvoi un objet un peu ""Geek"", il est très beau et très bien finit, mais l'utilité honnêtement... À moins de le mettre en arrière plan dans le cadre d'une vidéo Youtube, ",25 februari 2022,Frankrijk
344,Won't Charge,"1,0","I'm not sure if I received a defective product, but my divoom won't charge. I got it about a year ago and haven't used it much because whenever I turn it on it plays for about a minute and then shows ",24 februari 2022,de Verenigde Staten
345,Amazing sound and fun to use,"5,0","This speaker is a fantastic product. The sound quality is amazing, especially for its size. The whole family were impressed with it. It makes a great gift too. Very fun to use, and the buttons have a ",22 februari 2022,het Verenigd Koninkrijk
346,Awesome Piece for your Desk!,"5,0","Neither of my computer monitors came with speakers and I loved the design of this product, so it seemed like the perfect fit. So far so good! The sound quality is great and I love being able to custom",22 februari 2022,de Verenigde Staten
347,Small but powerful sound,"5,0","This is essentially a cool portable Bluetooth speaker with more bass than you'd expect. There's a display for funky animations or pixel art, lots to choose from in the app or make your own.If I were t",21 februari 2022,de Verenigde Staten
348,A cute little boom box,"5,0","This is a a fun little speaker. The pixel art app is kind of annoying because you have to ""unlock"" more features but it was still fun making pixel art. Some of the art people can make is amazing. Soun",19 februari 2022,de Verenigde Staten
349,I can't wait to buy another!,"5,0",Amazing little cute thing!,18 februari 2022,de Verenigde Staten
350,"Great quality, fun product!","5,0",Such a great mini speaker and a fun addition to the home office!,17 februari 2022,Australië
351,Very cool graphics,"4,0",I have the older time box made by this company but what I hated was the fact that the unit was limited as far as changing things without being connected to you device. The new Ditoo has a lot of optio,15 februari 2022,de Verenigde Staten
352,Small and powerful,"5,0","Not sure about the battery life but I have it plugged to my pc hopefully that charges it enough. It’s adorable, the planner and event function is very useful and cute too. It’s basically a glorified a",15 februari 2022,Singapore
353,Fantastico gadget,"5,0","Non sembrerebbe visto le dimensioni, ma ha una qualità audio eccellente e anche la risoluzione dello schermo è fantastica. Consigliato per chi si vuole togliere uno sfizio",13 februari 2022,Italië
354,Enamorada!,"5,0",,13 februari 2022,Spanje
355,It’s uwu,"5,0",,12 februari 2022,de Verenigde Staten
356,Good Product,"5,0","Pretty good sound quality, handy apps, and cute addition to the room or desk.",10 februari 2022,de Verenigde Staten
357,It’s okay?,"2,0","Overpriced, too distracting, it truly is just a speaker with some lights on it. Ideal for a child but when you have a phone which already has all these features it makes the product pointless.",8 februari 2022,de Verenigde Staten
358,Super Gadget!,"5,0",Tolles Gadget zum Musik hören und herumspielen. Aber das beste daran ist sein Aussehen - einfach ein Hingucker!,6 februari 2022,Duitsland
359,Bueno,"5,0",A mi hijo le encantó! su costo es un poco elevado pero en calidad de sonido es lo que esperaba la recomiendo,5 februari 2022,Mexico
360,😃 So CUTE! But…☹️,"3,0",It was a learning curve how to connect to my iPhone. It is really CUTE 🥰. Fun using the app to play with. Happy with the sound quality. The only complaint is… mine didn’t come with USB-C cable like ot,4 februari 2022,de Verenigde Staten
361,Great for gamers!,"5,0",Got it for my sister on Christmas. It has so many cool settings like match the art to the music.,4 februari 2022,de Verenigde Staten
362,Prima!,"5,0",Ehrlich zu sein hatte ich Angst vor Tonqualität aber bin damit ganz zufrieden.,3 februari 2022,Duitsland
363,"Troppo, Troppo carino!","5,0","È troppo carino ,ha tante funzioni,acquisto stra-approvato!!!",3 februari 2022,Italië
364,app was a fail so it made a cute paperweight,"1,0",We got this for my 12 year old daughter and it never really got used because the app didn't work with it so she couldn't get all the functionality out of it that she wanted so it has just sat in her r,2 februari 2022,de Verenigde Staten
365,Super Cute aber schlechter Akku,"4,0","Bin sehe zufrieden mit meinem Divoom Ditoo, der Ton ist super, geht sehr laut und is mega niedlich. Der Akku is nicht so gut leider, dauert lange zum aufladen und ist super schnell leer. Würde ihn auf",2 februari 2022,Duitsland
366,Decent speaker,"4,0","It’s very nice and the sound is pretty good it’s just the battery doesn’t last for long ,",31 januari 2022,de Verenigde Staten
367,the sound quality and pixel quality isn’t great,"2,0","for $100, i was expecting the speakers to sound a lot better. it’s not that great and i find myself using my laptop speakers instead of the ditoo. the pixels themselves are pretty large so the images ",30 januari 2022,de Verenigde Staten
368,Great Product,"5,0",Nice,28 januari 2022,de Verenigde Staten
369,Sehr schönes Gadget,"5,0",Hat super viele Funktionen aber sieht alles in allem einfach cute aus und der Lautsprecher ist zwar gut aber die Optik steht mehr im Vordergrund. Gefällt mir sehr!Der einzige negative Punkt: In der Ap,28 januari 2022,Duitsland
370,Awesome speaker,"5,0","I liked the speaker, it's the best portable speaker I have seen so far",27 januari 2022,de Verenigde Staten
371,Bel giocattolo. Senza cavetto,"4,0",Per me era usato e me l hanno fatto pagare a prezzo pieno in quanto mancava il cavetto di ricarica,27 januari 2022,Italië
372,Cute!!,"4,0",,27 januari 2022,de Verenigde Staten
373,Super Cute,"5,0",It is exactly as shown on the picture. It's super cute edition to my desk decor. Sound quality is satisfactory.,24 januari 2022,India
374,Way too cute!,"5,0",I love it so much! It works perfectly fine and looks pretty with a gaming setup. Unfortunately the battery doesn’t last too long.,24 januari 2022,Duitsland
375,It is either broken or the battery is SUPER terrible!,"1,0",For some reason the battery doesn’t hold any charge but I can’t work out for sure whether it’s the charger not working or the device. The instructions fail to let you know what the symbols on the disp,24 januari 2022,het Verenigd Koninkrijk
376,Fantastico!,"5,0",Ottima qualità e versatilità del prodotto,23 januari 2022,Italië
377,The perfect purchase for your pinterest-y desk setup!,"5,0","From the sound quality to the addictive pixel screen, everything about this is worth the buck!",22 januari 2022,India
378,Amazing,"5,0",really nice for teens,18 januari 2022,India
379,Good For Aesthetics,"3,0","This speaker looks great and has impressive visuals. Unfortunately if you travel too far, or need to use for longer than an hour the speaker’s battery depletes fairly quick.",18 januari 2022,de Verenigde Staten
380,Compañera virtual,"3,0","La maquina es preciosa, por fuera es una monada con su cajita, lleva cable para cargar. Los juegos son chulos pero lo malo es que no funcionan todos. Es un buen regalo",17 januari 2022,Spanje
381,Hält das was es verspricht,"5,0","Das Gerät funktioniert wie erwartet. Die Farben des Displays sind super und wenn man den Divoom als Lautsprecher oder Bluetooth-Box verwenden möchte, wird man nicht enttäuscht (mehr als ich persönlich",17 januari 2022,Duitsland
382,Really cute and useful,"5,0",,17 januari 2022,Canada
383,Love it,"5,0",works nicely after about almost a year and is very cute,16 januari 2022,de Verenigde Staten
384,"Divoom, you did a great job!","5,0",,14 januari 2022,Duitsland
385,Regalo ideal,"5,0","Precioso diseño, muy retro, la pantalla de píxeles es muy divertida, se puede modificar con una app fácil de instalar y de manejar. Lo menos bueno, es que no tiene una potencia de sonido muy alta. Per",14 januari 2022,Spanje
386,no funciona como se deve y se esta tardando mucho en el cambio,"1,0","no funciona bien, estoy esperando al cambio.",13 januari 2022,Spanje
387,Fun novelty speaker with better sound than expected,"5,0","Lovely little gadget, eagerly received as a gift. Very easy to connect via Bluetooth using an Android phone app. The screen is highly customisable, and the sound quality is very good, especially consi",12 januari 2022,het Verenigd Koninkrijk
388,Perfect !,"5,0",This was a gift for my granddaughter she loves it ! Thanks for a great present,12 januari 2022,de Verenigde Staten
389,Beautiful,"5,0",This is absolutely beautiful. I love the quality and the sound is super clean.,11 januari 2022,de Verenigde Staten
390,Awesome gift!!,"5,0","Best Christmas gift ever!! Super quality, great graphics and capability. Alarm clock, games, music and much more. My teenagers absolutely love this thing!! Wish I had one for myself!",10 januari 2022,de Verenigde Staten
391,Very good,"5,0",Great speaker👍🏽👍🏽 Cool features too the games are fun,10 januari 2022,de Verenigde Staten
392,Calidad de sonido y funcionalidad,"5,0",Es mejor que un simple altavoz,9 januari 2022,Spanje
393,Retro is the new cool,"5,0",,8 januari 2022,de Verenigde Staten
394,My best impulse buy ever!,"5,0","Not only is this incredibly cute, but the sound quality is amazing! The bass comes through quite well, not at all tinny - beats every Bluetooth speaker I've tried to date. I initially bought it for wo",7 januari 2022,Australië
395,Sorprendente,"5,0","La verdad es que me ha sorprendido bastante, suena bien, tiene muchas actividades desde la Apk, hay una comunidad de usuarios detrás, etcBuen gadjet",6 januari 2022,Spanje
396,Me gusta mucho.,"5,0",Excelente,6 januari 2022,de Verenigde Staten
397,Muy buena compra,"5,0",Good,6 januari 2022,Spanje
398,Estropeado nada más abrirlo,"1,0","Regalo de reyes que nada más abrirlo se ha encendido y de repente se ha apagado, se ha cargado y no ha vuelto a encender. Dinero tirado a la basura ya que ha pasado el periodo de devolución.",6 januari 2022,Spanje
399,This is such a cute speaker!,"5,0","This is a very cute speaker, I love it! It dies a little fast, i'd say an hour? But It's still very adorable.",6 januari 2022,de Verenigde Staten
400,"Super son, très beau 🎁","4,0","Ma fille adore, super pour un cadeau, le son est top, et les couleurs des leds apportent une belle ambiance.",5 januari 2022,Frankrijk
401,Aire retro y gran sonido,"5,0","Es una maravilla, y el aire retro es que enamora, tal cual. Alcance bluetooth estupendo, y el tacto de las teclas es impresionante.",5 januari 2022,Spanje
402,Loved it!,"5,0",Best purchase and super cute! Def worth the price!,5 januari 2022,de Verenigde Staten
403,Perfecto para regalo,"5,0","Un regalo perfecto, suena muy alto y claro y todos los detalles son buenísimos.",3 januari 2022,Spanje
404,Cute but a luxury item for sure,"4,0",Super cute and came in less than a week. Did take a while to figure out how to use all the features. The manual was very vague which is my only complaint about this product. Would definitely recommend,3 januari 2022,de Verenigde Staten
405,Brilliant purchase,"5,0","Very high quality, the quality of sound in amazing!",2 januari 2022,het Verenigd Koninkrijk
406,the product was defective and I returned it,"1,0",the product was defective and I returned it,2 januari 2022,de Verenigde Staten
407,Bonne Promo,"5,0",Promo Sympa. Cadeau qui a bcp plût.,1 januari 2022,Frankrijk
408,Wonderful?,"5,0",My daughter loves this speaker! She got it for Christmas and has used it every day! The sound is amazing! One of her favorite gifts for sure!,31 december 2021,de Verenigde Staten
409,Coolest speaker ever,"5,0","This speaker is the coolest thing I’ve ever bought the fact that it has games, optional art and more is the coolest, the speaker isn’t the loudest thing ever but the looks and games make up for it, yo",31 december 2021,Australië
410,"Geniales Teil, überraschend sehr gutes Preis-Leistungsverhältnis","5,0","Ganz tolles cooles Teil, überraschend gute Qualität. Super Klang und viele Funktionen. Wir sind begeistert. Klasse als Geschenk!",30 december 2021,Duitsland
411,Bluetooth,"5,0",Good speaker for the price,30 december 2021,de Verenigde Staten
412,Génial pour les geeks,"5,0","C est une super produit lié avec une application plutôt sympa, mais ça devient quand même vite inutile, c est un gadget qui vaut tout de même assez cher pour ce que c est.Mais, ça fait son effet sur u",29 december 2021,Frankrijk
413,Great gift,"5,0",Great gift,29 december 2021,Singapore
414,Very good sound for such a small box,"5,0","Nicely packaged, good quality heavy plastic. Sound is very good. Fün to play with.",28 december 2021,de Verenigde Staten
415,Sehr hochwertig,"5,0",Während ich zocke lasse ich es neben meinem Monitor laufen. Ein sehr schönes Accessoire,27 december 2021,Duitsland
